query_label,queries,best_single_ap_mean,best_fusion_ap_mean,best_single_rank1_mean,best_fusion_rank1_mean,delta_ap,delta_rank1,run_name,gallery_protocol,best_single_name,best_fusion_name
Pyte,2,0.754944815451943,1.0,1.0,1.0,0.24505518454805697,0.0,eva_miew_convnext_equal_rowminmax_sq,trainval_gallery,EVA-02,score_fusion
Pyte,2,0.754944815451943,0.9975764238843906,1.0,1.0,0.24263160843244758,0.0,eva_miew_convnext_miewheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Kwang,18,0.7464737417090216,0.9882026421468557,1.0,1.0,0.24172890043783413,0.0,eva_miew_convnext_miewheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Jaju,21,0.561970288276139,0.8030559665671985,0.8571428571428571,0.8571428571428571,0.24108567829105942,0.0,eva_miew_convnext_equal_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Jaju,21,0.561970288276139,0.8030559665671985,0.8571428571428571,0.8571428571428571,0.24108567829105942,0.0,eva_miew_convnext_equal_rowminmax_sq,trainval_gallery,EVA-02,score_fusion
Pyte,2,0.754944815451943,0.9945174773317154,1.0,1.0,0.23957266187977233,0.0,eva_mega_convnext_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Guaraci,2,0.29135509777483504,0.5228865093308703,0.0,0.5,0.2315314115560353,0.5,eva_miew_megadescriptor_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Pyte,2,0.754944815451943,0.9858308706112267,1.0,1.0,0.23088605515928362,0.0,eva_miew_dinov2base_equal_globalminmax_sq,trainval_gallery,EVA-02,embedding_concat
Saseka,21,0.3652523803023997,0.5953173709425137,0.9523809523809523,0.9523809523809523,0.230064990640114,0.0,eva_miew_convnext_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Pyte,2,0.754944815451943,0.984237032744933,1.0,1.0,0.22929221729298999,0.0,eva_miew_convnext_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Jaju,21,0.561970288276139,0.7903407420412617,0.8571428571428571,0.8571428571428571,0.22837045376512266,0.0,eva_mega_convnext_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Pyte,2,0.754944815451943,0.9822372616111552,1.0,1.0,0.22729244615921218,0.0,eva_convnext_megadescriptor_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Kwang,18,0.7464737417090216,0.9737013112828912,1.0,1.0,0.22722756957386958,0.0,eva_miew_convnext_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Pixana,5,0.75199829908137,0.9788811595322102,1.0,1.0,0.22688286045084027,0.0,eva_miew_convnext_miewheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Pixana,5,0.75199829908137,0.9779645398549125,1.0,1.0,0.22596624077354255,0.0,eva_miew_convnext_equal_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Pixana,5,0.75199829908137,0.9779645398549125,1.0,1.0,0.22596624077354255,0.0,eva_miew_convnext_equal_rowminmax_sq,trainval_gallery,EVA-02,score_fusion
Kwang,18,0.7464737417090216,0.972236066913821,1.0,1.0,0.22576232520479944,0.0,eva_miew_convnext_equal_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Kwang,18,0.7464737417090216,0.972236066913821,1.0,1.0,0.22576232520479944,0.0,eva_miew_convnext_equal_rowminmax_sq,trainval_gallery,EVA-02,score_fusion
Kwang,18,0.7464737417090216,0.9706748874146278,1.0,1.0,0.22420114570560623,0.0,eva_miew_dinosmall_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Kwang,18,0.7464737417090216,0.9703295515817363,1.0,1.0,0.2238558098727147,0.0,eva_miew_efficientnet_weighted_globalminmax_sq,trainval_gallery,EVA-02,embedding_concat
Guaraci,2,0.29135509777483504,0.5130783920188391,0.0,0.5,0.22172329424400405,0.5,eva_miew_convnext_miewheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Bernard,4,0.12750137098632128,0.34665197033871364,0.75,0.75,0.21915059935239237,0.0,eva_miew_megadescriptor_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Guaraci,2,0.29135509777483504,0.5081815688902453,0.0,0.0,0.2168264711154103,0.0,eva_miew_dinosmall_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Overa,8,0.4266450163313025,0.6412077645878814,1.0,1.0,0.21456274825657895,0.0,eva_mega_convnext_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Pixana,5,0.75199829908137,0.965254427035781,1.0,1.0,0.21325612795441107,0.0,eva_miew_convnext_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Kwang,18,0.7464737417090216,0.9597024395806792,1.0,1.0,0.21322869787165766,0.0,eva_miew_dinov2base_equal_globalminmax_sq,trainval_gallery,EVA-02,embedding_concat
Saseka,21,0.3652523803023997,0.569522131731257,0.9523809523809523,0.9523809523809523,0.20426975142885728,0.0,eva_miew_dinosmall_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Pixana,5,0.75199829908137,0.9517789425969969,1.0,1.0,0.19978064351562697,0.0,eva_mega_convnext_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Pixana,5,0.75199829908137,0.9511146853776559,1.0,1.0,0.19911638629628592,0.0,eva_miew_efficientnet_weighted_globalminmax_sq,trainval_gallery,EVA-02,embedding_concat
Kwang,18,0.7464737417090216,0.9426030840272914,1.0,1.0,0.19612934231826984,0.0,eva_mega_convnext_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Apeiara,2,0.02579474173403455,0.2217325545601901,0.0,1.0,0.19593781282615552,1.0,eva_miew_convnext_miewheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Saseka,21,0.3652523803023997,0.5592714814927944,0.9523809523809523,0.9523809523809523,0.19401910119039467,0.0,eva_mega_convnext_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Alira,6,0.574528525597665,0.7672321556934086,1.0,1.0,0.19270363009574365,0.0,eva_mega_convnext_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Alira,6,0.574528525597665,0.7586615644970397,1.0,1.0,0.1841330388993747,0.0,eva_miew_convnext_equal_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Alira,6,0.574528525597665,0.7586615644970397,1.0,1.0,0.1841330388993747,0.0,eva_miew_convnext_equal_rowminmax_sq,trainval_gallery,EVA-02,score_fusion
Apeiara,2,0.02579474173403455,0.2096249049232124,0.0,1.0,0.18383016318917783,1.0,eva_miew_dinosmall_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Saseka,21,0.3652523803023997,0.5409862524132817,0.9523809523809523,0.9523809523809523,0.17573387211088198,0.0,eva_miew_dinov2base_equal_globalminmax_sq,trainval_gallery,EVA-02,embedding_concat
Apeiara,2,0.02579474173403455,0.20069377514412765,0.0,1.0,0.1748990334100931,1.0,eva_miew_efficientnet_weighted_globalminmax_sq,trainval_gallery,EVA-02,embedding_concat
Marcela,32,0.7166366442231963,0.8878804533665984,0.9375,1.0,0.1712438091434021,0.0625,eva_miew_convnext_miewheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Jaju,21,0.561970288276139,0.733007242723988,0.8571428571428571,0.8571428571428571,0.17103695444784894,0.0,eva_miew_megadescriptor_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Ti,11,0.7925182321625183,0.9610820749029645,1.0,1.0,0.16856384274044622,0.0,eva_miew_convnext_equal_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Ti,11,0.7925182321625183,0.9610820749029645,1.0,1.0,0.16856384274044622,0.0,eva_miew_convnext_equal_rowminmax_sq,trainval_gallery,EVA-02,score_fusion
Alira,6,0.574528525597665,0.7420803814530634,1.0,1.0,0.16755185585539845,0.0,eva_convnext_megadescriptor_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Pyte,2,0.754944815451943,0.9224707817647041,1.0,1.0,0.16752596631276107,0.0,eva_miew_megadescriptor_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Bernard,4,0.12750137098632128,0.2950160587554849,0.75,0.75,0.16751468776916364,0.0,eva_mega_convnext_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Saseka,21,0.3652523803023997,0.5320990341179496,0.9523809523809523,0.9523809523809523,0.16684665381554986,0.0,eva_miew_efficientnet_weighted_globalminmax_sq,trainval_gallery,EVA-02,embedding_concat
Ti,11,0.7925182321625183,0.955779316396583,1.0,1.0,0.1632610842340647,0.0,eva_miew_convnext_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Marcela,32,0.7166366442231963,0.879873925457125,0.9375,1.0,0.16323728123392867,0.0625,eva_miew_efficientnet_weighted_globalminmax_sq,trainval_gallery,EVA-02,embedding_concat
Benita,9,0.8172540633843579,0.9801770131556489,0.8888888888888888,1.0,0.16292294977129096,0.11111111111111116,eva_convnext_megadescriptor_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Apeiara,2,0.02579474173403455,0.18846209354653798,0.0,0.0,0.1626673518125034,0.0,eva_convnext_megadescriptor_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Marcela,32,0.7166366442231963,0.8791001621056819,0.9375,1.0,0.1624635178824856,0.0625,eva_miew_convnext_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Ti,11,0.7925182321625183,0.9546366763410227,1.0,1.0,0.1621184441785044,0.0,eva_mega_convnext_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Apeiara,2,0.02579474173403455,0.1874045813256052,0.0,0.5,0.16160983959157066,0.5,eva_miew_megadescriptor_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Marcela,32,0.7166366442231963,0.878139781236266,0.9375,1.0,0.16150313701306973,0.0625,eva_miew_dinosmall_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Benita,9,0.8172540633843579,0.977347367121332,0.8888888888888888,1.0,0.16009330373697406,0.11111111111111116,eva_miew_convnext_equal_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Benita,9,0.8172540633843579,0.977347367121332,0.8888888888888888,1.0,0.16009330373697406,0.11111111111111116,eva_miew_convnext_equal_rowminmax_sq,trainval_gallery,EVA-02,score_fusion
Benita,9,0.8172540633843579,0.9767175472795242,0.8888888888888888,1.0,0.1594634838951663,0.11111111111111116,eva_miew_convnext_miewheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Benita,9,0.8172540633843579,0.9748121254659361,0.8888888888888888,1.0,0.1575580620815782,0.11111111111111116,eva_miew_megadescriptor_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Pixana,5,0.75199829908137,0.9084929636442572,1.0,1.0,0.1564946645628873,0.0,eva_miew_dinosmall_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Bernard,4,0.12750137098632128,0.28376395199695215,0.75,0.75,0.15626258101063087,0.0,eva_miew_convnext_equal_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Bernard,4,0.12750137098632128,0.28376395199695215,0.75,0.75,0.15626258101063087,0.0,eva_miew_convnext_equal_rowminmax_sq,trainval_gallery,EVA-02,score_fusion
Benita,9,0.8172540633843579,0.9724632374442683,0.8888888888888888,1.0,0.15520917405991042,0.11111111111111116,eva_miew_convnext_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Marcela,32,0.7166366442231963,0.8712917158922715,0.9375,0.96875,0.15465507166907522,0.03125,eva_miew_convnext_equal_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Marcela,32,0.7166366442231963,0.8712917158922715,0.9375,0.96875,0.15465507166907522,0.03125,eva_miew_convnext_equal_rowminmax_sq,trainval_gallery,EVA-02,score_fusion
Kwang,18,0.7464737417090216,0.9004856912583361,1.0,1.0,0.15401194954931452,0.0,eva_miew_megadescriptor_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Ti,11,0.7925182321625183,0.9460529471445308,1.0,1.0,0.15353471498201254,0.0,eva_miew_convnext_miewheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Ti,11,0.7925182321625183,0.9423251702872264,1.0,1.0,0.14980693812470813,0.0,eva_miew_dinosmall_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Benita,9,0.8172540633843579,0.9631042439007196,0.8888888888888888,1.0,0.14585018051636167,0.11111111111111116,eva_mega_convnext_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Benita,9,0.8172540633843579,0.9518923833293648,0.8888888888888888,1.0,0.13463831994500686,0.11111111111111116,eva_miew_dinosmall_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Marcela,32,0.7166367079729553,0.845779645122675,0.9375,0.9375,0.1291429371497197,0.0,eva_mega_convnext_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Ti,11,0.7925182321625183,0.9172528050111711,1.0,1.0,0.12473457284865286,0.0,eva_miew_dinov2base_equal_globalminmax_sq,trainval_gallery,EVA-02,embedding_concat
Apeiara,2,0.02579474173403455,0.15019392016241234,0.0,0.5,0.12439917842837779,0.5,eva_miew_dinov2base_equal_globalminmax_sq,trainval_gallery,EVA-02,embedding_concat
Marcela,32,0.7166367079729553,0.8338078550356379,0.9375,1.0,0.11717114706268261,0.0625,eva_miew_megadescriptor_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Kwang,18,0.7464737417090216,0.8629453583566064,1.0,1.0,0.11647161664758476,0.0,eva_convnext_megadescriptor_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Alira,6,0.574528525597665,0.6904879015440001,1.0,1.0,0.1159593759463351,0.0,eva_miew_convnext_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Marcela,32,0.7166366442231963,0.8325212418044856,0.9375,1.0,0.11588459758128933,0.0625,eva_miew_dinov2base_equal_globalminmax_sq,trainval_gallery,EVA-02,embedding_concat
